ticket_id,product,feature,issue_description,resolution_status
33393420,Wireless Headphones,Connectivity,The headphones Bluetooth connectivity is unreliable.,Unresolved
55092437,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Escalated
26887949,Desktop Computer,Storage,The computer storage is running low causing issues with file management.,Escalated
15390586,Wireless Headphones,Connectivity,The headphones Bluetooth connectivity is unreliable.,Unresolved
75791861,Gaming Console,Performance,The console is struggling to maintain a consistent frame rate.,Resolved
45482711,Gaming Console,Online Services,The online multiplayer services are unreliable and laggy.,Escalated
13101660,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Resolved
30379997,Smartphone,Performance,The phone is lagging and crashing when running multiple apps.,Unresolved
27787776,Wireless Headphones,Audio Quality,The audio quality is distorted especially at higher volumes.,Escalated
28663773,Laptop,RAM,The laptop RAM is maxed out leading to poor multitasking performance.,Escalated
20265412,Wireless Earbuds,Connectivity,The earbuds are experiencing frequent connection issues.,Resolved
29408481,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Escalated
21649507,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Unresolved
82699306,Gaming Console,Game Library,The game library is limited and the user wants more game options.,Resolved
19795651,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Unresolved
72591939,Portable Speaker,Durability,The speaker build quality is not up to par affecting its lifespan.,Unresolved
80649641,Wireless Earbuds,Audio Quality,The earbuds are unable to provide the expected level of audio clarity and fidelity.,Unresolved
76010132,Gaming Console,Online Services,The online multiplayer services are unreliable and laggy.,Escalated
65158547,Laptop,Processor,The laptop performance is sluggish especially with intensive tasks.,Unresolved
10822116,Wireless Earbuds,Controls,The earbuds controls are not functioning as expected frustrating the user.,Resolved
63254332,Laptop,RAM,The laptop is experiencing frequent freezes and slowdowns due to insufficient RAM.,Unresolved
35974333,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Escalated
34437698,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Escalated
90201154,Portable Speaker,Connectivity,The speaker is experiencing frequent connection issues.,Escalated
89316596,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Escalated
64842868,Wireless Earbuds,Connectivity,The earbuds Bluetooth connectivity is unreliable causing disruptions.,Escalated
98735639,Desktop Computer,Processor,The computer processor is not keeping up with the user workload.,Escalated
23432583,Wireless Headphones,Audio Quality,The audio quality is not meeting the user expectations.,Unresolved
63869796,Smartwatch,Connectivity,The watch is experiencing frequent disconnection issues with the user device.,Resolved
30040881,Gaming Console,Online Services,The online services are frequently experiencing server outages.,Escalated
94716699,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Resolved
75408128,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Escalated
60954854,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Unresolved
28876795,Smartwatch,Fitness Tracking,The user is dissatisfied with the watch ability to monitor their fitness.,Unresolved
59370708,Portable Speaker,Audio Quality,The speaker sound quality is not meeting the user expectations.,Escalated
29411692,Wireless Earbuds,Battery Life,The earbuds battery life is short requiring frequent charging.,Resolved
60538169,Smartphone,Camera,The camera is struggling to focus properly.,Unresolved
87550459,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Resolved
73347060,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Escalated
93086809,Gaming Console,Game Library,The game library is limited and the user wants more game options.,Escalated
75374429,Portable Speaker,Audio Quality,The speaker is producing distorted and muffled audio.,Escalated
86672784,Desktop Computer,Graphics,The computer graphics capabilities are not meeting the user expectations.,Unresolved
40464270,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Escalated
54145495,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Unresolved
13495862,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Resolved
49440432,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Resolved
59678941,Laptop,Storage,The laptop storage is filling up quickly leaving little space for new data.,Unresolved
87040661,Smartphone,Battery,The battery is draining too quickly.,Escalated
32100167,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Escalated
11268374,Wireless Earbuds,Connectivity,The earbuds are experiencing frequent connection issues.,Escalated
36918621,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Resolved
45229973,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Escalated
54874731,Wireless Earbuds,Controls,The earbuds controls are not functioning as expected frustrating the user.,Unresolved
77239569,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Resolved
95582842,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Resolved
88501335,Laptop,Processor,The laptop is struggling to run multiple applications simultaneously.,Resolved
93018046,Gaming Console,Game Library,The user is unable to find the specific games they want to play.,Resolved
99507733,Wireless Headphones,Battery Life,The headphones run out of battery too quickly.,Resolved
24123215,Smartphone,Connectivity,The phone is having trouble maintaining a stable internet connection.,Resolved
90670195,Desktop Computer,RAM,The computer RAM is maxed out leading to poor overall performance.,Unresolved
17278338,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Unresolved
81190224,Smartwatch,Fitness Tracking,The watch is not accurately tracking the user fitness activities.,Unresolved
50045667,Wireless Earbuds,Connectivity,The earbuds are experiencing frequent connection issues.,Unresolved
85614886,Laptop,RAM,The laptop RAM is maxed out leading to poor multitasking performance.,Unresolved
62991422,Smartwatch,Fitness Tracking,The user is dissatisfied with the watch ability to monitor their fitness.,Escalated
50042332,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Escalated
74736681,Wireless Headphones,Connectivity,The headphones Bluetooth connectivity is unreliable.,Unresolved
81487779,Portable Speaker,Audio Quality,The speaker is unable to deliver the desired audio experience.,Escalated
